576,0.096774,0,0.000138,0,2007-07-06,1
576,0.032258,0,0.000028,0,2007-08-04,1
576,0,0.01,0,0.000267,2007-09-06,1
576,0,0.006667,0,0.000158,2007-12-06,1
576,0,0.006667,0,0.000376,2008-02-04,1
576,0,0.003333,0,0.000023,2008-03-06,1
576,0,0.01,0,0.000153,2008-04-04,1
576,0,0.01,0,0.000357,2008-05-04,1
576,0,0.006667,0,0.00013,2008-06-06,1
576,0,0.01,0,0.000188,2008-07-04,1
576,0,0.006667,0,0.000382,2008-08-04,1
593,0.032258,0,0.000138,0,2005-06-04,1
700,0,0.003333,0,0.000177,2005-10-06,1
712,0.032258,0,0.000023,0,2005-08-04,1
712,0.032258,0,0.000007,0,2005-10-06,1
712,0.032258,0,0.000005,0,2006-03-04,1
712,0.064516,0,0.000233,0,2006-05-05,1
712,0.064516,0,0.000206,0,2006-06-04,1
712,0.032258,0,0.000046,0,2006-10-05,1
712,0.032258,0.003333,0.000046,0.000012,2006-11-04,1
712,0.032258,0,0.000009,0,2007-02-04,1
712,0.032258,0,0.000046,0,2007-07-06,1
712,0,0.003333,0,0.000057,2007-10-04,1
712,0.032258,0,0.000046,0,2007-12-06,1
712,0,0.003333,0,0.000058,2008-01-05,1
712,0,0.003333,0,0.000053,2008-02-04,1
712,0,0.003333,0,0.000047,2008-04-04,1
712,0,0.003333,0,0.000049,2008-05-04,1
712,0,0.006667,0,0.00015,2008-08-04,1
746,0.032258,0,0.000344,0,2005-09-04,1
746,0.032258,0,0.000028,0,2006-02-04,1
746,0.032258,0,0.000046,0,2006-07-07,1
746,0.032258,0,0.000092,0,2007-12-06,1
746,0,0.006667,0,0.00022,2008-05-04,1
754,0.032258,0,0.000689,0,2005-09-04,1
754,0,0.003333,0,0.000885,2006-06-04,1
781,0.096774,0,0.000732,0,2005-10-06,1
781,0.032258,0,0.00068,0,2005-11-04,1
781,0.032258,0,0.000218,0,2005-12-04,1
781,0.032258,0,0.000201,0,2006-01-06,1
781,0.032258,0,0.000829,0,2006-02-04,1
781,0.032258,0.003333,0.001397,0.000028,2006-03-04,1
781,0.032258,0.003333,0.000741,0.000057,2006-04-06,1
781,0.032258,0.003333,0.000749,0.000024,2006-05-05,1
781,0.032258,0,0.000463,0,2006-06-04,1
781,0.032258,0.003333,0.000454,0.000107,2006-07-07,1
781,0.032258,0.003333,0.00011,0.000023,2006-08-04,1
781,0.032258,0.003333,0.000069,0.000112,2006-09-04,1
781,0.032258,0,0.000009,0,2006-10-05,1
781,0,0.003333,0,0.000106,2006-11-04,1
781,0,0.006667,0,0.000057,2006-12-04,1
781,0,0.003333,0,0.000181,2007-01-05,1
781,0,0.003333,0,0.000628,2007-02-04,1
781,0,0.003333,0,0.001436,2007-03-04,1
781,0.032258,0.003333,0.000007,0.0004,2007-04-05,1
781,0,0.003333,0,0.000188,2007-05-04,1
781,0.032258,0.003333,0.000005,0.000812,2007-06-04,1
781,0,0.003333,0,0.000165,2007-07-06,1
781,0,0.003333,0,0.000139,2007-08-04,1
781,0,0.003333,0,0.000375,2007-09-06,1
781,0,0.003333,0,0.000507,2007-10-04,1
781,0,0.003333,0,0.000103,2007-11-04,1
781,0.032258,0.003333,0.000051,0.000216,2007-12-06,1
781,0,0.003333,0,0.000196,2008-01-05,1
781,0.032258,0.003333,0.000005,0.000077,2008-02-04,1
781,0,0.003333,0,0.000251,2008-03-06,1
781,0,0.003333,0,0.00005,2008-04-04,1
781,0,0.003333,0,0.000172,2008-05-04,1
781,0,0.003333,0,0.000067,2008-10-04,1
797,0.032258,0,0.041414,0,2005-10-23,1
797,0,0.003333,0,0.000044,2005-11-25,1
797,0,0.003333,0,0.000059,2005-11-27,1
797,0,0.003333,0,0.000498,2005-11-28,1
797,0,0.003333,0,0.000792,2005-12-17,1
797,0,0.003333,0,0.000413,2006-02-26,1
797,0,0.003333,0,0.000254,2006-03-13,1
797,0,0.003333,0,0.001459,2006-03-23,1
797,0,0.003333,0,0.000623,2006-03-27,1
797,0,0.003333,0,0.000484,2006-04-10,1
797,0,0.003333,0,0.000465,2006-04-21,1
797,0,0.003333,0,0.000637,2006-04-23,1
797,0,0.003333,0,0.000427,2006-04-27,1
797,0,0.003333,0,0.000421,2006-05-12,1
797,0,0.003333,0,0.000442,2006-05-21,1
797,0,0.003333,0,0.000305,2006-05-26,1
797,0,0.003333,0,0.000654,2006-05-27,1
797,0,0.003333,0,0.00064,2006-06-11,1
797,0,0.003333,0,0.001035,2006-06-17,1
797,0,0.003333,0,0.000419,2006-06-18,1
797,0,0.003333,0,0.000461,2006-07-02,1
797,0,0.003333,0,0.000496,2006-07-07,1
797,0,0.003333,0,0.000521,2006-07-15,1
797,0,0.003333,0,0.000535,2006-07-24,1
797,0,0.003333,0,0.000439,2006-07-31,1
797,0,0.003333,0,0.000439,2006-08-13,1
797,0,0.003333,0,0.000432,2006-08-20,1
797,0,0.003333,0,0.000511,2006-08-28,1
797,0,0.003333,0,0.000309,2006-09-04,1
797,0,0.003333,0,0.000487,2006-09-09,1
